"Outcome","Predictor","Tertiles","Mean","CI_lower","CI_upper","Contrast","Contrast_CI_lower","Contrast_CI_upper"
"ldl","m_fiber","High (T3)",2.62262826460671,2.49243377299903,2.75203844805129,0.979,0.00716859670038784,0.390877675966164
"ldl","m_starch","Low (T1)",2.77422706221976,2.66983075716175,2.87496805005223,0.985,0.0214615178533981,0.368031487088912
"ldl","m_starch","Moderate (T2)",2.70422490018168,2.62338956198074,2.78950560455577,0.985,0.0214615178533981,0.368031487088912
"ldl","m_starch","High (T3)",2.58221658948171,2.44245161995451,2.72423780611939,0.985,0.0214615178533981,0.368031487088912
"ldl","m_intrinsic_sugars","Low (T1)",2.85145737065446,2.71346950833349,2.99334669691922,0.996,0.0585354270035533,0.418654075609715
"ldl","m_intrinsic_sugars","Moderate (T2)",2.77012317043245,2.66864570345911,2.86673185681927,0.996,0.0585354270035533,0.418654075609715
"ldl","m_intrinsic_sugars","High (T3)",2.61155064874007,2.48575733303231,2.73176310535702,0.996,0.0585354270035533,0.418654075609715
"ldl","m_sucrose","Low (T1)",2.72438629051447,2.6109755024114,2.83943550676292,0.569,-0.133705673300793,0.173727112687563
"ldl","m_sucrose","Moderate (T2)",2.71544097613295,2.62449558157746,2.80777202053017,0.569,-0.133705673300793,0.173727112687563
"ldl","m_sucrose","High (T3)",2.70802808186608,2.60658236052128,2.80832554194746,0.569,-0.133705673300793,0.173727112687563
"ldl","m_total_sugars","Low (T1)",2.75923683740388,2.63085820871115,2.88743269350202,0.825,-0.0865235199155231,0.241364746880635
"ldl","m_total_sugars","Moderate (T2)",2.73156821563916,2.63842341242349,2.82714853933996,0.825,-0.0865235199155231,0.241364746880635
"ldl","m_total_sugars","High (T3)",2.68368017545281,2.57733712089689,2.7883765429755,0.825,-0.0865235199155231,0.241364746880635
"hdl","m_nmes","Low (T1)",1.6991671610007,1.65196896005855,1.74410201049116,0.869,-0.0330023218122387,0.101161259423968
"hdl","m_nmes","Moderate (T2)",1.68552033046427,1.6444364258943,1.72588195138031,0.869,-0.0330023218122387,0.101161259423968
"hdl","m_nmes","High (T3)",1.66370093561576,1.61677676997411,1.71166332557304,0.869,-0.0330023218122387,0.101161259423968
"hdl","m_fiber","Low (T1)",1.69246839277227,1.63207321568154,1.75597165924724,0.647,-0.069696495867625,0.104725614383832
"hdl","m_fiber","Moderate (T2)",1.68555463085508,1.64316849048683,1.72884136017008,0.647,-0.069696495867625,0.104725614383832
"hdl","m_fiber","High (T3)",1.67594376515389,1.6177266933034,1.73312370638943,0.647,-0.069696495867625,0.104725614383832
"hdl","m_starch","Low (T1)",1.70082075046201,1.65811299346967,1.74565941332383,0.926,-0.0171660813265258,0.138249101493718
"hdl","m_starch","Moderate (T2)",1.68118232274465,1.64346067302167,1.71709315675435,0.926,-0.0171660813265258,0.138249101493718
"hdl","m_starch","High (T3)",1.64289685737547,1.57975632528674,1.70914762280919,0.926,-0.0171660813265258,0.138249101493718
"hdl","m_intrinsic_sugars","Low (T1)",1.69458197071186,1.62608518431079,1.75476863821508,0.69,-0.0666355428960781,0.103566736864155
"hdl","m_intrinsic_sugars","Moderate (T2)",1.6880675325141,1.64078028874003,1.72955946965182,0.69,-0.0666355428960781,0.103566736864155
"hdl","m_intrinsic_sugars","High (T3)",1.6720988421162,1.61593326992817,1.72759156748517,0.69,-0.0666355428960781,0.103566736864155
"hdl","m_sucrose","Low (T1)",1.70392198660122,1.64842164521937,1.75362338232938,0.878,-0.0336919956414645,0.105290377142013
"hdl","m_sucrose","Moderate (T2)",1.68896344634924,1.64749333631387,1.7293622640082,0.878,-0.0336919956414645,0.105290377142013
"hdl","m_sucrose","High (T3)",1.66504169658715,1.61820134962963,1.71263983630824,0.878,-0.0336919956414645,0.105290377142013
"hdl","m_total_sugars","Low (T1)",1.71497875440156,1.65355141479961,1.77192578858593,0.922,-0.0213056308227392,0.128358696374291
"hdl","m_total_sugars","Moderate (T2)",1.69359601827189,1.65061404237731,1.73557033243686,0.922,-0.0213056308227392,0.128358696374291
"hdl","m_total_sugars","High (T3)",1.65948209326301,1.60973235069495,1.7049173049125,0.922,-0.0213056308227392,0.128358696374291
"hba1c_percent","m_nmes","Low (T1)",5.27165541036504,5.2137278475142,5.3215615926647,0.891,-0.0315706442861642,0.12927131608731
"hba1c_percent","m_nmes","Moderate (T2)",5.25329114324939,5.20754212403019,5.29988952228829,0.891,-0.0315706442861642,0.12927131608731
"hba1c_percent","m_nmes","High (T3)",5.21925626732403,5.161327043621,5.27625832131174,0.891,-0.0315706442861642,0.12927131608731
"hba1c_percent","m_fiber","Low (T1)",5.23322148883899,5.15370057012458,5.30889091849128,0.293,-0.136880460653709,0.0719485767398367
"hba1c_percent","m_fiber","Moderate (T2)",5.24499347198834,5.19428437097692,5.2963151907123,0.293,-0.136880460653709,0.0719485767398367
"hba1c_percent","m_fiber","High (T3)",5.26211432924005,5.19188788588679,5.33265850257973,0.293,-0.136880460653709,0.0719485767398367
"hba1c_percent","m_starch","Low (T1)",5.23699955133521,5.18121103818827,5.29106655381957,0.219,-0.135978713799934,0.0498226452098635
"hba1c_percent","m_starch","Moderate (T2)",5.25042773898678,5.20165689621173,5.29461939330243,0.219,-0.135978713799934,0.0498226452098635
"hba1c_percent","m_starch","High (T3)",5.27634491636836,5.20420972610011,5.35363451328419,0.219,-0.135978713799934,0.0498226452098635
"hba1c_percent","m_intrinsic_sugars","Low (T1)",5.257910197312,5.17954473327162,5.33501783772461,0.596,-0.0884998456695111,0.115356845546158
"hba1c_percent","m_intrinsic_sugars","Moderate (T2)",5.25100838872097,5.1976667680801,5.3055633672247,0.596,-0.0884998456695111,0.115356845546158
"hba1c_percent","m_intrinsic_sugars","High (T3)",5.24484942925038,5.1841662294643,5.3092321610407,0.596,-0.0884998456695111,0.115356845546158
"hba1c_percent","m_sucrose","Low (T1)",5.27442778023093,5.21290574430361,5.33527088937361,0.869,-0.033902244375128,0.131947178761987
"hba1c_percent","m_sucrose","Moderate (T2)",5.25550980671722,5.20969539889301,5.30432332168839,0.869,-0.033902244375128,0.131947178761987
"hba1c_percent","m_sucrose","High (T3)",5.22794527232772,5.17466889819769,5.28210250728648,0.869,-0.033902244375128,0.131947178761987
"hba1c_percent","m_total_sugars","Low (T1)",5.25709310598241,5.1832069843823,5.32336844375319,0.636,-0.0814944775593001,0.105563681182109
"hba1c_percent","m_total_sugars","Moderate (T2)",5.25155645961303,5.20002513305601,5.30206950184612,0.636,-0.0814944775593001,0.105563681182109
"hba1c_percent","m_total_sugars","High (T3)",5.24256487266732,5.18801272193606,5.30122873774882,0.636,-0.0814944775593001,0.105563681182109
"trig_log","m_nmes","Low (T1)",1.03826819249633,0.985032981536936,1.09162810540267,0.25,-0.110936411280367,0.0524564490427783
"trig_log","m_nmes","Moderate (T2)",1.04728991824137,1.00123038862246,1.09459578627659,0.25,-0.110936411280367,0.0524564490427783
"trig_log","m_nmes","High (T3)",1.06659116032339,1.00881082712833,1.12863253240454,0.25,-0.110936411280367,0.0524564490427783
"trig_log","m_fiber","Low (T1)",1.06562025259749,0.990363672688173,1.14981731778695,0.687,-0.0786835332072436,0.135918882861111
"trig_log","m_fiber","Moderate (T2)",1.05594122534776,1.00420541500745,1.10711185754478,0.687,-0.0786835332072436,0.135918882861111
"trig_log","m_fiber","High (T3)",1.0393401778674,0.968330921335386,1.11460930383686,0.687,-0.0786835332072436,0.135918882861111
"trig_log","m_starch","Low (T1)",1.01435313495759,0.960781244789233,1.07138887640542,0.008,-0.212652995517423,-0.0257412536675622
"trig_log","m_starch","Moderate (T2)",1.05386583753264,1.00806515759964,1.10219031070807,0.008,-0.212652995517423,-0.0257412536675622
"trig_log","m_starch","High (T3)",1.13258130892853,1.05904270468116,1.21635759822407,0.008,-0.212652995517423,-0.0257412536675622
"trig_log","m_intrinsic_sugars","Low (T1)",1.07382424704161,0.994947173706494,1.15561491246694,0.78,-0.0630387827444054,0.15093876886598
"trig_log","m_intrinsic_sugars","Moderate (T2)",1.06062609272884,1.00890006390877,1.11658120772032,0.78,-0.0630387827444054,0.15093876886598
"trig_log","m_intrinsic_sugars","High (T3)",1.03205814291684,0.970648814841913,1.09856790611678,0.78,-0.0630387827444054,0.15093876886598
"trig_log","m_sucrose","Low (T1)",1.05177614186474,0.993898230438458,1.11326244073233,0.511,-0.0854628137251296,0.0851102076228732
"trig_log","m_sucrose","Moderate (T2)",1.05050114217676,1.00257971898873,1.09825454424252,0.511,-0.0854628137251296,0.0851102076228732
"trig_log","m_sucrose","High (T3)",1.05091267646208,0.995260336806606,1.10274271453795,0.511,-0.0854628137251296,0.0851102076228732
"trig_log","m_total_sugars","Low (T1)",1.04667896222324,0.975114049661509,1.11651933443465,0.439,-0.100969774766512,0.0829505521847598
"trig_log","m_total_sugars","Moderate (T2)",1.04764024627224,1.00003313671198,1.09597056772454,0.439,-0.100969774766512,0.0829505521847598
"trig_log","m_total_sugars","High (T3)",1.05416189968274,0.99404608192435,1.11128468503269,0.439,-0.100969774766512,0.0829505521847598
